timestamp_us,channel,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,fsr_heel_left,fsr_fore_left,fsr_heel_right,fsr_fore_right,gait_phase
0,0,0.972746,0.231874,0.0,0.0,26.815,0.0,0.0,-15,-140,16362,53.097,1.196,0.117,0,0,799,991,0
0,1,0.994056,0.108867,0.0,0.0,12.5,0.0,0.0,97,80,16465,26.192,-0.188,-0.998,0,0,799,991,0
0,2,0.997859,0.065403,0.0,0.0,7.5,0.0,0.0,5,-139,16274,16.41,0.28,0.083,0,0,799,991,0
0,3,0.828133,0.560532,0.0,0.0,68.185,0.0,0.0,40,22,16280,138.91,-1.088,-0.414,0,0,799,991,0
0,4,0.83147,0.55557,0.0,0.0,67.5,0.0,0.0,21,128,16562,135.937,0.156,-0.354,0,0,799,991,0
0,5,0.997859,0.065403,0.0,0.0,7.5,0.0,0.0,123,36,16449,12.13,0.175,-1.085,0,0,799,991,0
5000,0,0.972127,0.234457,0.0,0.0,27.119,0.0,0.0,-149,-249,16318,55.644,1.197,0.296,4,0,699,875,0
5000,1,0.993039,0.117783,0.0,0.0,13.528,0.0,0.0,11,-18,16536,24.619,1.664,0.176,4,0,699,875,0
5000,2,0.99725,0.074118,0.0,0.0,8.501,0.0,0.0,-30,-94,16304,17.119,0.536,-0.225,4,0,699,875,0
5000,3,0.829619,0.55833,0.0,0.0,67.881,0.0,0.0,69,134,16335,135.51,1.215,-0.32,4,0,699,875,0
5000,4,0.836421,0.548087,0.0,0.0,66.472,0.0,0.0,-53,92,16516,135.089,0.783,-0.943,4,0,699,875,0
5000,5,0.998392,0.056684,0.0,0.0,6.499,0.0,0.0,4,203,16362,14.302,-0.12,0.943,4,0,699,875,0
10000,0,0.971417,0.237381,0.0,0.0,27.464,0.0,0.0,-108,-26,16327,53.385,-0.94,0.777,17,0,603,763,0
10000,1,0.991884,0.127142,0.0,0.0,14.609,0.0,0.0,-149,-75,16247,29.814,0.582,-0.075,17,0,603,763,0
10000,2,0.996565,0.082809,0.0,0.0,9.5,0.0,0.0,-122,-19,16352,19.442,0.674,-0.603,17,0,603,763,0
10000,3,0.831295,0.555832,0.0,0.0,67.536,0.0,0.0,42,-62,16362,138.749,0.047,0.627,17,0,603,763,0
10000,4,0.841553,0.540174,0.0,0.0,65.391,0.0,0.0,-3,-87,16525,129.23,0.518,0.241,17,0,603,763,0
10000,5,0.998848,0.047977,0.0,0.0,5.5,0.0,0.0,-60,107,16331,9.564,-1.559,-0.795,17,0,603,763,0
15000,0,0.970615,0.240638,0.0,0.0,27.848,0.0,0.0,84,46,16165,52.181,1.158,-1.236,39,0,513,655,0
15000,1,0.990581,0.136926,0.0,0.0,15.74,0.0,0.0,81,-68,16362,30.772,0.053,-0.672,39,0,513,655,0
15000,2,0.995809,0.09146,0.0,0.0,10.495,0.0,0.0,52,-8,16416,20.555,-0.551,0.655,39,0,513,655,0
